test,spec,term,estimate,std_error,p_value,df,ci_low,ci_high,n_obs,n_firms,treated_firms,control_firms,year,event_time
R1,2016,event_2016,0.003368707421762739,0.009885190038452476,0.7334660838163806,359.0,-0.016071447381544795,0.02280886222507027,3240.0,360.0,151.0,209.0,2016,-4
R1,2017,event_2017,0.0041015257616414105,0.00947544791151441,0.6653776832217668,359.0,-0.014532832658781462,0.022735884182064285,3240.0,360.0,151.0,209.0,2017,-3
R1,2018,event_2018,0.010844960318293292,0.009315767996641128,0.24513590653792822,359.0,-0.007475372549556436,0.02916529318614302,3240.0,360.0,151.0,209.0,2018,-2
,,,0.0,0.0,,,0.0,0.0,,,,,2019,-1
R1,2020,event_2020,0.05731720747699887,0.009071993548103863,7.845972066550909e-10,359.0,0.039476279961825324,0.07515813499217242,3240.0,360.0,151.0,209.0,2020,0
R1,2021,event_2021,0.0843653951885627,0.009607266587058474,6.703109963844663e-17,359.0,0.06547180295993024,0.10325898741719516,3240.0,360.0,151.0,209.0,2021,1
R1,2022,event_2022,0.11898533967513807,0.00978060741431418,9.538016894892911e-29,359.0,0.0997508564264568,0.13821982292381935,3240.0,360.0,151.0,209.0,2022,2
R1,2023,event_2023,0.16941311683162208,0.009940581079129157,3.845199303794559e-48,359.0,0.14986403034351312,0.18896220331973104,3240.0,360.0,151.0,209.0,2023,3
R1,2024,event_2024,0.1974032208192525,0.00962868974927018,2.15863836237138e-62,359.0,0.17846749792968666,0.21633894370881832,3240.0,360.0,151.0,209.0,2024,4
